AIME I 2001,1,Number Theory,NC,,,,
,2,Number Theory,NC,,,,
,3,Algebra,NC,,,,
,4,Geometry,NC,,,,
,5,Geometry,NC,,,,
,8,Number Theory,,,,,
AIME II 2001,1,Number Theory,NC,,,,
,2,Algebra,C,,,,
,3,Algebra,C,,,,
,4,Geometry,NC,,,,
,5,Geometry,NC,,,,
AIME I 2002,1,Probability,NC,,,,
,3,Number Theory,NC,,,,
,4,Algebra,C,,,,
,5,Geometry,NC,,,,
,6,Algebra,NC,,,,
AIME II 2002,1,Number Theory,C,,,,
,2,Geometry,NC,,,,
,3,Algebra,NC,,,,
,5,Number Theory,NC,,,,
,6,Number Theory,NC,,,,
,7,Number Theory,C,,,,
,8,Algebra,NC,,,,
,9,Algebra,NC,,,,
AIME I 2003,1,Number Theory,NC,,,,
,2,Algebra,NC,,,,
,3,Algebra,NC,,,,
,4,Algebra,C,,,,
,6,Geometry,NC,,,,
AIME II 2003,1,Number Theory,C,,,,
,2,Number Theory,NC,,,,
,3,Counting,C,,,,
,4,Geometry,C,,,,
,5,Geometry,C,,,,
AIME I 2004,1,Number Theory,NC,,,,
,2,Algebra,NC,,,,
,3,Geometry,C,,,,
,5,Algebra,NC,,,,
,6,Number Theory,NC,,,,
AIME II 2004,2,Probability,NC,,,,
,3,Geometry,C,,,,
,4,Number Theory,NC,,,,
,5,Algebra,NC,,,,
AIME I 2005,1,Geometry,C,,,,
,2,Number Theory,NC,,,,
,3,Number Theory,NC,,,,
,4,Counting,C,,,,
,5,Counting,NC,,,,
AIME II 2005,1,Counting,NC,,,,
,2,Probability,NC,,,,
,3,Algebra,NC,,,,
,4,Number Theory,NC,,,,
,5,Algebra,NC,,,,
AIME I 2006,1,Geometry,C,,,,
,2,Algebra,C,,,,
,3,Number Theory,NC,,,,
,4,Number Theory,NC,,,,
,5,Number Theory,NC,,,,
AIME II 2006,1,Geometry,NC,,,,
,2,Algebra,C,,,,
,3,Number Theory,NC,,,,
,4,Counting,NC,,,,
,5,Probability,NC,,,,
AIME I 2007,1,Number Theory,NC,,,,
,2,Algebra,NC,,,,
,3,Algebra,NC,,,,
,4,Algebra,NC,,,,
,5,Algebra,NC,,,,
AIME II 2007,1,Counting,NC,,,,
,2,Number Theory,NC,,,,
,3,Geometry,NC,,,,
,4,Algebra,NC,,,,
,5,Probability,NC,,,,
AIME I 2008,1,Algebra,C,,,,
,2,Geometry,NC,,,,
,3,Algebra,C,,,,
,4,Algebra,NC,,,,
,5,Geometry,C,,,,
AIME II 2008,1,Number Theory,C,,,,
,2,Algebra,NC,,,,
,3,Algebra,NC,,,,
,4,Number Theory,C,,,,
,5,Geometry,NC,,,,
AIME I 2009,1,Algebra,NC,,,,
,2,Algebra,C,,,,
,3,Probability,C,,,,
,4,Geometry,NC,,,,
,5,Geometry,NC,,,,
AIME II 2009,1,Algebra,NC,,,,
,2,Algebra,NC,,,,
,3,Geometry,NC,,,,
,4,Algebra,NC,,,,
,5,Geometry,NC,,,,
AIME I 2010,1,Probability,NC,,,,
,2,Number Theory,C,,,,
,3,Algebra,C,,,,
,4,Probability,NC,,,,
